cod_municipio,url_sha1,pertenece,tema,signo
31005,e772ec730b99c60997b1bd9686210f66c1dbbade,false,,
31005,4d465f803ccfc9274e1ccfb63702081a1c6ed521,true,infraestructura,1
31005,963201ac4665980c8a9a80b1ca0f62f4d2805751,true,politica,0
31005,212d561051481e31e726be6b8c3505eb54633b83,false,,
31005,aa92a9f7e45ab98a8e33cfd764038c3e7b80c69c,false,,
31005,e9249e117e91383b756d9aa376a81c74b9eb609d,false,,
31005,98d6205f8cdb11a7877d395507a88a085e0661a6,true,politica,1
31005,1e3746c72d563c0306a1553b4b81561dfd625176,false,,
31007,a46ffb25e5082537ebb8cc622ec64caebbc2f75b,false,,
31016,def7c5728f17cd5e24e14455d69deb944a2c839e,false,,
31016,a3c58406aa1d7aa23bb8359c37afc3750eab7ad1,false,,
31016,e012e939691535716eb2dc138cf681420adaaa71,false,,
31016,f72d3e98abf1213e9def8ff11c74d8c9cb8b8f0f,false,,
31016,89015e1be34fcef256aef59a4efe4566e9f1484b,true,politica,0
31016,51e2ca0008a19a808d796a14d82fc960fa60ab73,false,,
31016,de6399cbc02f2b46751059485cebd76ec8eeea9d,false,,
31016,1ecc0b7cba8d941e34d72121f3e3876c56124d70,false,,
31024,f6e4f9f18cd3065483c5597139d2fdf4c97f51ca,false,,
31024,b3f912f033d73c20db9770859e5edf174b8d510e,false,,
31024,0c71edd2a5fe1971ef80ec78c0e9adafbc0e1303,false,,
31024,6c03dedc6b0122e5ee2062f9b04c5d52ba66dc9b,true,servicios,-1
31024,3469865199d139127ad975df5b9d592a88e0e303,false,,
31024,4ff13ee6e5818e802316e516482f91b72125286a,true,servicios,-1
31024,81edf41c68d78fe69c6076f4f8643ed8c3ddbd39,false,,
31024,e384cc860ea920489eff801caa87b8c5e8e460a4,false,,
31049,898c866088745fc1a8b8fbd913f9f3b8c64848e2,false,,
31049,4c52298b2654799dd33dbe203f2e859a7ba05185,true,servicios,1
31049,3f0299e67167793a038d5f6d58ae28a5eb97fe13,false,,
31049,aafa241f2ccc1654efad72475232d4093b1f08fb,true,sucesos,-1
31049,2e7bfa1bb908647402a4b76dd8f4e22573cb7afb,false,,
31049,1cbe0cd29e3790f7a34295c5eed14823069093de,false,,
31049,5853a9fca9a4e63d5b4d455e47cb61339c0af5b7,false,,
31049,78ed61be9f7834894190d853d28a476afed90aa0,false,,
31066,9252122f6066ebc345f0dc4ae454cf4cc2304dec,false,,
31066,65a877f65e3be3429e47605b7e0a3131057d609e,false,,
31066,0aee23e7eb50df8545a0a52ceea7ea5cf897c1c0,true,sucesos,-1
31066,0efdcebfde79b7bd7669812112e99a5a1818b15e,false,,
31066,35a1132fd13df6199053adc070774b8d75893406,false,,
31066,bc3c9716f337a70812c99ff1b7e5d7825cccd828,false,,
31066,fbd6369fc63cf150fec278b00c7260d691380a66,false,,
31066,852c788ced07137eefa23586388ca1f33f396493,false,,
31073,9aaac76912c5d7e66df95b70eabd362e7682c3fd,false,,
31073,0516f2daaae62c884931f0e3cccfb957094bb13c,true,empleo,1
31073,26bdd0947d9375b2bbe5e0e2f426ba91f4195497,false,,
31073,c67eda6121550c294b8641eef2ebeaf79e984f13,false,,
31073,33da8bf72b117c4ec6d49454a6dc445b7cfe9cdc,false,,
31073,0793d312bfd7bc5a527c8c07204d03bec80dadef,true,servicios,0
31073,87c9e69d462b9a9f5e998ca549767b0e3a9462a1,true,sucesos,-1
31073,44e8eb9ba2747565f809a7432254e4e83e61db46,false,,
31074,7614e056d6d02d15acb42ee11dec3ce935ab5a29,false,,
31074,1c34c8eaa1f0665190fae9722c1e3704bcaadfeb,false,,
31074,cda37c2a69d8c4c34deab2e5b2f69291e63f2212,false,,
